epoch,auc,auc_1,binary_accuracy,loss,val_auc,val_auc_1,val_binary_accuracy,val_loss
0,0.5094281435012817,0.588974118232727,0.5093164443969727,0.8194899559020996,0.5331390500068665,0.5994148254394531,0.5438328385353088,0.6820415258407593
1,0.5314365029335022,0.6093528866767883,0.52336186170578,0.7883282899856567,0.5866332650184631,0.6545178294181824,0.5438328385353088,0.6691246628761292
2,0.5496037602424622,0.6244794726371765,0.5336127281188965,0.7666160464286804,0.6514337062835693,0.7050067186355591,0.5963302850723267,0.6487383246421814
3,0.584540605545044,0.652873158454895,0.560797393321991,0.7352554202079773,0.6927086710929871,0.7387567758560181,0.6314984560012817,0.6316425204277039
4,0.6029922366142273,0.670796811580658,0.5757489800453186,0.7158851623535156,0.745411217212677,0.7860451340675354,0.6580020189285278,0.60610431432724
5,0.6426821351051331,0.7066335678100586,0.5991957783699036,0.6784519553184509,0.7833889126777649,0.8231130838394165,0.7013251781463623,0.5794859528541565
6,0.678307056427002,0.736015796661377,0.6317041516304016,0.6507938504219055,0.8082444667816162,0.8495646715164185,0.7237512469291687,0.5525574088096619
7,0.7133840918540955,0.7672207355499268,0.6535651683807373,0.6209964752197266,0.8264908194541931,0.8695133328437805,0.7431192398071289,0.5260837078094482
8,0.7360823154449463,0.7909227013587952,0.6734439730644226,0.6013282537460327,0.8369448781013489,0.8804921507835388,0.756371021270752,0.505852460861206
9,0.7649421095848083,0.8157702684402466,0.6965509653091431,0.5726609826087952,0.8434869050979614,0.8882619142532349,0.764016330242157,0.4903302490711212
10,0.785915732383728,0.8350483775138855,0.7149006128311157,0.5514407753944397,0.8482680916786194,0.8929034471511841,0.7691131234169006,0.48111119866371155
11,0.7918508052825928,0.8416835069656372,0.7195446491241455,0.544030487537384,0.8516891598701477,0.8966323733329773,0.7711519002914429,0.4721466898918152
12,0.8050999045372009,0.8543367385864258,0.730588436126709,0.5285353660583496,0.8553949594497681,0.900001585483551,0.7777777910232544,0.4644607603549957
13,0.8103092312812805,0.8601587414741516,0.7382907867431641,0.5223276019096375,0.8580171465873718,0.9022932648658752,0.7787971496582031,0.45838475227355957
